name,date,author,risk_score,severity,tactic,technique,subtechnique
Excessive Web Traffic,2024/05/11,['Marko Marulic'],50,low,Discovery,T1046 - Network Service Discovery,none - none
PowerShell Invoke-WebRequest Downloading .BAT File,2024/05/11,['Marko Marulic'],50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Data Exfiltration Observed via FTP,2024/06/11,['Marko Marulic'],75,high,Exfiltration,T1020 - Automated Exfiltration,none - none
New Alert,2024/05/11,['Marko Marulic'],1,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Web Scanner Activity - Nmap and Nikto,2024/07/11,['Marko Marulic'],25,low,Discovery,T1046 - Network Service Discovery,none - none
Potential MSF PowerShell Payload Observed,2024/06/11,['Marko Marulic'],100,high,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Data Archive for Potential Exfil,2024/07/11,['Marko Marulic'],50,medium,Collection,T1074 - Data Staged,T1074.001 - Local Data Staging
Suspicious File Added to Registry,2024/05/11,['Marko Marulic'],75,high,Persistence,T1547 - Boot or Logon Autostart Execution,T1547.001 - Registry Run Keys / Startup Folder
Bat files observed in HTTP Traffic on Unusual Port ,2024/06/11,['Marko Marulic'],100,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.003 - Windows Command Shell
Suspicious File Written to Temp Directory,2024/06/11,['Marko Marulic'],75,high,Discovery; Discovery,T1082 - System Information Discovery; T1217 - Browser Information Discovery,none - none; none - none
PowerShell Execution via a BAT File,2024/06/11,['Marko Marulic'],100,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
